Loading parameters from parameters.yml: a success
Starting Simulation
day	diversity	tmrca	netau	serialInterval	antigenicDiversity	N	S	I	R	cases	meanLoad	antigenicTypes	cumulativeTypes
New ant mutant distance = 0.004107687775946097 Day = 1 Antigen Mutation on Type = 0
980	3.112	2.682	3.425	0.040	0.000	4000	3980	20	0	5	11.000	1	1
990	3.143	2.703	2.740	0.031	0.000	4000	3982	18	0	5	11.000	1	1
1000	2.897	2.719	1.826	0.038	0.000	4000	3982	18	0	4	11.000	1	1
1010	3.092	2.759	1.712	0.033	0.000	4000	3981	19	0	7	11.000	1	1
1020	2.659	2.785	1.522	0.052	0.000	4000	3982	18	0	4	11.000	1	1
1030	3.395	2.819	2.491	0.103	0.000	4000	3980	20	0	9	11.000	1	1
1040	3.207	2.829	2.283	0.136	0.000	4000	3982	18	0	4	11.000	1	1
1050	3.586	2.864	3.044	0.105	0.000	4000	3981	19	0	8	11.000	1	1
1060	3.151	2.890	3.425	0.072	0.000	4000	3981	19	0	7	11.000	1	1
1070	3.175	2.900	1.712	0.130	0.000	4000	3982	18	0	4	11.000	1	1
1080	3.610	2.951	2.107	0.156	0.000	4000	3981	19	0	7	11.000	1	1
1090	3.148	2.963	1.957	0.139	0.000	4000	3982	18	0	3	11.000	1	1
1100	3.039	3.000	1.442	0.121	0.000	4000	3982	18	0	6	11.000	1	1
1110	3.462	3.032	1.712	0.110	0.000	4000	3983	17	0	5	12.000	1	1
1120	3.650	3.053	2.740	0.059	0.000	4000	3983	17	0	6	12.000	1	1
1130	3.265	3.090	1.305	0.090	0.000	4000	3982	18	0	6	12.000	1	1
1140	3.253	3.111	1.191	0.161	0.000	4000	3983	17	0	7	12.000	1	1
1150	3.288	3.118	2.107	0.210	0.000	4000	3983	17	0	4	12.000	1	1
1160	3.485	3.136	1.305	0.129	0.000	4000	3983	17	0	2	11.000	1	1
1170	3.967	3.188	2.283	0.174	0.000	4000	3983	17	0	4	12.000	1	1
1180	3.333	3.219	1.370	0.123	0.000	4000	3982	18	0	3	12.000	1	1
1190	3.548	3.227	1.712	0.135	0.000	4000	3983	17	0	4	11.000	1	1
1200	3.604	3.244	2.107	0.183	0.000	4000	3983	17	0	5	12.000	1	1
1210	3.690	3.307	1.712	0.132	0.000	4000	3983	17	0	3	12.000	1	1
1220	3.807	3.330	1.522	0.112	0.000	4000	3982	18	0	5	12.000	1	1
1230	3.930	3.344	1.712	0.148	0.000	4000	3982	18	0	2	11.000	1	1
1240	3.864	3.392	2.283	0.152	0.000	4000	3982	18	0	6	12.000	1	1
1250	3.913	3.414	1.957	0.121	0.000	4000	3983	17	0	2	11.000	1	1
1260	3.881	3.436	1.612	0.234	0.000	4000	3983	17	0	3	12.000	1	1
1270	4.175	3.470	2.491	0.169	0.000	4000	3982	18	0	5	12.000	1	1
1280	3.999	3.485	2.491	0.145	0.000	4000	3983	17	0	3	12.000	1	1
1290	3.626	3.523	1.442	0.118	0.000	4000	3983	17	0	3	12.000	1	1
1300	3.676	3.556	1.712	0.120	0.000	4000	3981	19	0	6	12.000	1	1
1310	3.622	3.570	1.957	0.126	0.000	4000	3982	18	0	6	12.000	1	1
1320	3.960	3.599	2.107	0.128	0.000	4000	3982	18	0	5	12.000	1	1
1330	3.798	3.610	2.107	0.146	0.000	4000	3983	17	0	3	12.000	1	1
1340	4.144	3.658	1.712	0.108	0.000	4000	3982	18	0	3	12.000	1	1
1350	4.101	3.681	1.442	0.180	0.000	4000	3983	17	0	4	12.000	1	1
1360	4.029	3.696	2.491	0.177	0.000	4000	3983	17	0	6	12.000	1	1
1370	4.111	3.744	1.957	0.082	0.000	4000	3983	17	0	6	11.000	1	1
1380	4.054	3.749	2.283	0.135	0.000	4000	3983	17	0	8	11.000	1	1
1390	4.061	3.801	1.522	0.166	0.000	4000	3982	18	0	5	12.000	1	1
1400	3.968	3.800	1.826	0.197	0.000	4000	3983	17	0	0	12.000	1	1
1410	4.183	3.833	1.826	0.091	0.000	4000	3982	18	0	7	11.000	1	1
1420	4.275	3.885	2.283	0.090	0.000	4000	3982	18	0	7	12.000	1	1
1430	4.203	3.893	1.712	0.116	0.000	4000	3983	17	0	2	12.000	1	1
1440	3.935	3.900	1.957	0.125	0.000	4000	3983	17	0	1	12.000	1	1
1450	4.063	3.921	2.107	0.077	0.000	4000	3982	18	0	4	11.000	1	1
1460	4.155	3.937	1.712	0.104	0.000	4000	3982	18	0	7	11.000	1	1
1470	3.691	3.937	1.245	0.153	0.000	4000	3982	18	0	1	11.000	1	1
1480	4.352	3.964	2.491	0.113	0.000	4000	3982	18	0	3	11.000	1	1
1490	3.603	3.974	1.712	0.104	0.000	4000	3982	18	0	4	11.000	1	1
1500	4.398	3.984	3.044	0.084	0.000	4000	3982	18	0	2	11.000	1	1
1510	4.431	4.005	2.283	0.177	0.000	4000	3982	18	0	8	11.000	1	1
1520	4.357	4.016	2.107	0.144	0.000	4000	3982	18	0	4	11.000	1	1
1530	4.344	4.036	2.283	0.125	0.000	4000	3981	19	0	2	11.000	1	1
1540	4.353	4.045	1.826	0.082	0.000	4000	3982	18	0	7	11.000	1	1
1550	4.546	4.063	2.740	0.105	0.000	4000	3980	20	0	4	11.000	1	1
1560	4.476	4.073	2.107	0.051	0.000	4000	3982	18	0	6	11.000	1	1
1570	4.565	4.089	1.957	0.049	0.000	4000	3982	18	0	3	11.000	1	1
1580	4.515	4.322	2.107	0.036	0.000	4000	3981	19	0	9	11.000	1	1
1590	4.747	4.336	1.826	0.037	0.000	4000	3980	20	0	4	11.000	1	1
1600	4.777	4.342	1.305	0.032	0.000	4000	3982	18	0	6	11.000	1	1
