date	meanR	varR	meanBeta	varBeta	meanSigma	varSigma	covBetaSigma
3.917808	-3.307107	0.001791	-0.671395	0.001791	-4.021643	0.000000	-0.000000
3.945205	-3.290578	0.001791	-0.671395	0.001791	-4.005113	0.000000	-0.000000
3.972603	-3.287705	0.001858	-0.668271	0.001858	-4.005364	0.000000	-0.000000
4.000000	-3.298694	0.001858	-0.668271	0.001858	-4.016353	0.000000	-0.000000
4.027397	-3.271445	0.001858	-0.668271	0.001858	-3.989104	0.000000	0.000000
4.054795	-3.276835	0.001858	-0.668271	0.001858	-3.994495	0.000000	-0.000000
4.082192	-3.287705	0.001858	-0.668271	0.001858	-4.005364	0.000000	-0.000000
4.109589	-3.287705	0.001858	-0.668271	0.001858	-4.005364	0.000000	-0.000000
4.136986	-3.332405	0.001858	-0.668271	0.001858	-4.050065	0.000000	-0.000000
4.164384	-3.343900	0.001858	-0.668271	0.001858	-4.061559	0.000000	0.000000
4.191781	-3.335592	0.001900	-0.665476	0.001900	-4.056046	0.000000	0.000000
4.219178	-3.367292	0.001858	-0.668271	0.001858	-4.084952	0.000000	-0.000000
4.246575	-3.342305	0.001718	-0.666174	0.001718	-4.062061	0.000000	-0.000000
4.273973	-3.385203	0.001858	-0.668271	0.001858	-4.102863	0.000000	0.000000
4.301370	-3.379197	0.001858	-0.668271	0.001858	-4.096857	0.000000	0.000000
4.328767	-3.402588	0.001782	-0.667167	0.001782	-4.121351	0.000000	0.000000
4.356164	-3.390052	0.001777	-0.666575	0.001777	-4.109407	0.000000	-0.000000
4.383562	-3.428287	0.001858	-0.668271	0.001858	-4.145946	0.000000	0.000000
4.410959	-3.448596	0.001778	-0.669281	0.001778	-4.165246	0.000000	-0.000000
4.438356	-3.434933	0.002055	-0.661756	0.002055	-4.159107	0.000000	0.000000
4.465753	-3.454182	0.001760	-0.668435	0.001760	-4.171677	0.000000	0.000000
4.493151	-3.443331	0.001913	-0.663764	0.001913	-4.165497	0.000000	0.000000
4.520548	-3.479911	0.001858	-0.668271	0.001858	-4.197571	0.000000	0.000000
4.547945	-3.499979	0.001858	-0.668271	0.001858	-4.217638	0.000000	0.000000
4.575342	-3.499979	0.001858	-0.668271	0.001858	-4.217638	0.000000	0.000000
4.602740	-3.527378	0.001858	-0.668271	0.001858	-4.245037	0.000000	0.000000
4.630137	-3.520457	0.001858	-0.668271	0.001858	-4.238117	0.000000	0.000000
4.657534	-3.534347	0.001858	-0.668271	0.001858	-4.252006	0.000000	0.000000
4.684932	-3.541780	0.001760	-0.668435	0.001760	-4.259275	0.000000	-0.000000
4.712329	-3.542202	0.001766	-0.668858	0.001766	-4.259275	0.000000	-0.000000
4.739726	-3.527378	0.001858	-0.668271	0.001858	-4.245037	0.000000	0.000000
4.767123	-3.507975	0.001678	-0.668985	0.001678	-4.224920	0.000000	0.000000
4.794521	-3.527378	0.001858	-0.668271	0.001858	-4.245037	0.000000	0.000000
4.821918	-3.548431	0.001858	-0.668271	0.001858	-4.266091	0.000000	0.000000
4.849315	-3.541364	0.001858	-0.668271	0.001858	-4.259023	0.000000	-0.000000
4.876712	-3.534347	0.001858	-0.668271	0.001858	-4.252006	0.000000	0.000000
4.904110	-3.511886	0.001828	-0.666322	0.001828	-4.231495	0.000000	-0.000000
4.931507	-3.506759	0.001858	-0.668271	0.001858	-4.224418	0.000000	0.000000
4.958904	-3.527378	0.001858	-0.668271	0.001858	-4.245037	0.000000	0.000000
4.986301	-3.534339	0.001761	-0.668013	0.001761	-4.252257	0.000000	0.000000
5.013699	-3.527378	0.001858	-0.668271	0.001858	-4.245037	0.000000	0.000000
5.041096	-3.496590	0.001998	-0.664631	0.001998	-4.217889	0.000000	0.000000
5.068493	-3.513585	0.001858	-0.668271	0.001858	-4.231244	0.000000	-0.000000
5.095890	-3.511041	0.001900	-0.665476	0.001900	-4.231495	0.000000	-0.000000
5.123288	-3.511342	0.001689	-0.665275	0.001689	-4.231998	0.000000	-0.000000
5.150685	-3.555549	0.001858	-0.668271	0.001858	-4.273208	0.000000	0.000000
5.178082	-3.548431	0.001858	-0.668271	0.001858	-4.266091	0.000000	0.000000
5.205479	-3.569938	0.001858	-0.668271	0.001858	-4.287597	0.000000	0.000000
5.232877	-3.548431	0.001858	-0.668271	0.001858	-4.266091	0.000000	0.000000
5.260274	-3.541364	0.001858	-0.668271	0.001858	-4.259023	0.000000	-0.000000
5.287671	-3.527378	0.001858	-0.668271	0.001858	-4.245037	0.000000	0.000000
5.315068	-3.499979	0.001858	-0.668271	0.001858	-4.217638	0.000000	0.000000
5.342466	-3.482953	0.001954	-0.664166	0.001954	-4.204718	0.000000	0.000000
5.369863	-3.474702	0.002006	-0.662559	0.002006	-4.198073	0.000000	0.000000
5.397260	-3.493565	0.002109	-0.661354	0.002109	-4.218141	0.000000	0.000000
5.424658	-3.476099	0.002057	-0.664208	0.002057	-4.197822	0.000000	-0.000000
5.452055	-3.489433	0.002057	-0.664208	0.002057	-4.211155	0.000000	0.000000
5.479452	-3.476099	0.002057	-0.664208	0.002057	-4.197822	0.000000	-0.000000
5.506849	-3.469499	0.002057	-0.664208	0.002057	-4.191221	0.000000	0.000000
5.534247	-3.489433	0.002057	-0.664208	0.002057	-4.211155	0.000000	0.000000
5.561644	-3.509773	0.002057	-0.664208	0.002057	-4.231495	0.000000	-0.000000
5.589041	-3.522458	0.001892	-0.662598	0.001892	-4.245791	0.000000	0.000000
5.616438	-3.516646	0.002057	-0.664208	0.002057	-4.238368	0.000000	0.000000
5.643836	-3.516646	0.002057	-0.664208	0.002057	-4.238368	0.000000	0.000000
5.671233	-3.516646	0.002057	-0.664208	0.002057	-4.238368	0.000000	0.000000
5.698630	-3.502947	0.002057	-0.664208	0.002057	-4.224669	0.000000	0.000000
5.726027	-3.509773	0.002057	-0.664208	0.002057	-4.231495	0.000000	-0.000000
5.753425	-3.509773	0.002057	-0.664208	0.002057	-4.231495	0.000000	-0.000000
5.780822	-3.523566	0.002057	-0.664208	0.002057	-4.245288	0.000000	0.000000
5.808219	-3.507974	0.002034	-0.662158	0.002034	-4.231746	0.000000	-0.000000
5.835616	-3.531145	0.001957	-0.664567	0.001957	-4.252508	0.000000	0.000000
5.863014	-3.544619	0.002057	-0.664208	0.002057	-4.266342	0.000000	0.000000
5.890411	-3.544619	0.002057	-0.664208	0.002057	-4.266342	0.000000	0.000000
5.917808	-3.558905	0.002057	-0.664208	0.002057	-4.280628	0.000000	0.000000
